web-scraper-order,web-scraper-start-url,title,title-href,link,link-href
"1590498303-1808","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=82","Coronavirus is dividing blue cities from their red states","https://www.allsides.com/news/2020-03-31-0852/coronavirus-dividing-blue-cities-their-red-states","Read full story","https://www.cnn.com/2020/03/31/politics/red-states-blue-cities-coronavirus/index.html"
"1590502291-2595","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=31","Governors wrestle with how to reopen and face new challenges to their authority.","https://www.allsides.com/news/2020-05-01-0740/governors-wrestle-how-reopen-and-face-new-challenges-their-authority","Read full story","https://www.nytimes.com/2020/05/01/us/coronavirus-updates.html"
"1590498334-1814","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=82","Coronavirus makes it more clear than ever: Health care is a human right","https://www.allsides.com/news/2020-03-31-1017/coronavirus-makes-it-more-clear-ever-health-care-human-right","Read full story","https://chicago.suntimes.com/columnists/2020/3/30/21200283/health-care-human-right-coronavirus-covid-19-jesse-jackson-insurance-companies"
"1590503634-2915","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=2","New Jersey, other states, work to fight virus misinformation","https://www.allsides.com/news/2020-05-23-0555/new-jersey-other-states-work-fight-virus-misinformation","Read full story","https://apnews.com/39f9bb51846b86be18e379dca7dee032"
"1590496909-1496","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=102","Advice From a Crisis Expert on Surviving a Lockdown","https://www.allsides.com/news/2020-03-20-1324/advice-crisis-expert-surviving-lockdown","Read full story","https://www.nytimes.com/2020/03/19/nyregion/coronavirus-lockdown-nyc.html"
"1590495154-1096","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=128","Panic and Criticism Spread on Chinese Social Media Over Coronavirus","https://www.allsides.com/news/2020-01-24-1116/panic-and-criticism-spread-chinese-social-media-over-coronavirus","Read full story","https://www.nytimes.com/2020/01/24/world/asia/china-social-media-coronavirus.html"
"1590503292-2812","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=14","68% of Americans say an available vaccine is very important before returning to normal life, new survey finds","https://www.allsides.com/news/2020-05-13-1419/68-americans-say-available-vaccine-very-important-returning-normal-life-new","Read full story","https://www.cnn.com/us/live-news/us-coronavirus-update-05-11-20/h_2e96345ab9c76d1ab760e0176cce52db"
"1590497762-1710","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=88","It was the worst week for the economy in decades. The pain is just beginning.","https://www.allsides.com/news/2020-03-27-0726/it-was-worst-week-economy-decades-pain-just-beginning","Read full story","https://www.washingtonpost.com/business/2020/03/26/it-was-worst-week-economy-decades-pain-is-just-beginning/"
"1590496016-1284","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=115","Europe condemns the U.S. travel ban as more nations add restrictions.","https://www.allsides.com/news/2020-03-12-0746/europe-condemns-us-travel-ban-more-nations-add-restrictions","Read full story","https://www.nytimes.com/2020/03/12/world/coronavirus-news.html?action=click&module=Spotlight&pgtype=Homepage"
"1590502390-2617","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=30","Was Elon’s Tesla Twitter meltdown illegal? An investigation","https://www.allsides.com/news/2020-05-02-1052/was-elon-s-tesla-twitter-meltdown-illegal-investigation","Read full story","https://www.theverge.com/2020/5/1/21244747/elon-musk-tesla-tweets-shares-sec-settlement-stock"
