link,link-href
Birx’s ‘Fox News Sunday’ interview lays bare the discord in Trump’s coronavirus response,https://www.washingtonpost.com/politics/2020/05/03/birxs-fox-news-sunday-interview-lays-bare-discord-trumps-coronavirus-response/
"As pandemic upends the country, Trump and Biden seek to make Obama central to their campaigns",https://www.washingtonpost.com/politics/obama-trump-biden-campaign-coronavirus/2020/05/13/e8f992e8-9467-11ea-82b4-c8db161ff6e5_story.html
Tensions between China and Trump administration over coronavirus escalate with expulsion of U.S. reporters,https://www.washingtonpost.com/politics/tensions-between-china-and-trump-administration-over-coronavirus-escalate-with-expulsion-of-us-reporters/2020/03/17/f2fc50c4-687e-11ea-9923-57073adce27c_story.html
The Technology 202: Democrats introduce bill to protect data collected in coronavirus pandemic,https://www.washingtonpost.com/politics/the-technology-202-democrats-introduce-bill-to-protect-data-collected-in-coronavirus-pandemic/2020/05/15/85b0deba-8a11-4162-91eb-091fc12686aa_story.html
"Biden defends his decision to campaign from home, calls Trump reckless",https://www.washingtonpost.com/politics/biden-defends-his-decision-to-campaign-from-home-calls-trump-reckless/2020/05/12/5f6cee0e-9448-11ea-82b4-c8db161ff6e5_story.html
Trump adviser Navarro declines invitation to testify before House panel on vaccine official’s whistleblower complaint,https://www.washingtonpost.com/politics/trump-adviser-navarro-declines-invitation-to-testify-before-house-panel-on-whistleblowers-complaint/2020/05/12/57810d04-9495-11ea-82b4-c8db161ff6e5_story.html
The Daily 202: Governors who raced to relax coronavirus restrictions pay a price in new poll,https://www.washingtonpost.com/politics/the-daily-202-governors-who-raced-to-relax-coronavirus-restrictions-pay-a-price-in-new-poll/2020/05/12/a9972249-bc57-4a79-a3c0-2582bf44e644_story.html
House Democrats pass $3 trillion coronavirus relief bill despite Trump’s veto threat,https://www.washingtonpost.com/us-policy/2020/05/15/democrats-pelosi-congress-coronavirus-3-trillion-trump/
Trump eyes federal retirement plan investments as part of showdown with China over coronavirus,https://www.washingtonpost.com/politics/trump-eyes-federal-retirement-plan-investments-as-part-of-showdown-with-china-over-coronavirus/2020/05/08/9f9b2058-8fb2-11ea-a9c0-73b93422d691_story.html
"Faced with a Trumpian barrage of attacks, Joe Biden chooses to look the other way",https://www.washingtonpost.com/politics/faced-with-a-trumpian-barrage-of-attacks-joe-biden-chooses-to-look-the-other-way/2020/05/16/f5c64ddc-96c3-11ea-82b4-c8db161ff6e5_story.html
‘They don’t expect that from admirals’: Mitt Romney rebukes Giroir and White House’s coronavirus test talking point,https://www.washingtonpost.com/politics/2020/05/12/they-dont-expect-that-admirals-mitt-romney-rebukes-giroir-white-houses-coronavirus-test-talking-point/
The economy is robbing Trump of his most common pitch to black Americans,https://www.washingtonpost.com/politics/2020/05/08/economy-is-robbing-trump-his-most-common-pitch-black-americans/
"Flynn decision cheered by Trump and the right, as critics decry it as an attack on the rule of law",https://www.washingtonpost.com/politics/flynn-decision-punctuates-three-years-of-partisan-warfare-over-russia-probe/2020/05/07/8b34ebde-9099-11ea-a0bc-4e9ad4866d21_story.html
What did Dr. Anthony Fauci say about coronavirus testing ‘failing’?,https://www.washingtonpost.com/politics/2020/03/18/what-did-dr-fauci-say-about-coronavirus-testing-failing/
States moving forward with reopening are seeing increases in new coronavirus cases,https://www.washingtonpost.com/politics/2020/05/05/states-moving-forward-with-reopening-are-seeing-increases-new-coronavirus-cases/
"Lawmaking in the time of coronavirus: The Senate returns to work, warily",https://www.washingtonpost.com/politics/lawmaking-in-the-time-of-coronavirus-the-senate-returns-to-work-warily/2020/05/04/6632fd22-8e18-11ea-a9c0-73b93422d691_story.html
Key GOP senator asks Trump for ‘detailed reasoning’ for State Dept. inspector general’s removal,https://www.washingtonpost.com/politics/kep-gop-senator-asks-trump-for-detailed-reasoning-for-state-dept-inspector-generals-removal/2020/05/18/7456a430-993a-11ea-ac72-3841fcc9b35f_story.html
Top Democrats launch investigation into late-night firing of State Department inspector general,https://www.washingtonpost.com/politics/2020/05/16/state-department-inspector-general-fired-democrats-decry-dangerous-pattern-retaliation/
"In an uncertain moment, Trump takes refuge in a familiar place: Fake poll numbers",https://www.washingtonpost.com/politics/2020/03/18/an-uncertain-moment-trump-takes-refuge-familiar-place-fake-poll-numbers/
The Technology 202: Remote work could be here to stay for some tech workers,https://www.washingtonpost.com/politics/the-technology-202-remote-work-could-be-here-to-stay-for-some-tech-workers/2020/05/13/fb2bcfac-6ed1-4c36-8a84-0de1656966f2_story.html
What we know after Tuesday’s primaries,https://www.washingtonpost.com/politics/what-we-know-after-tuesdays-primaries/2020/03/18/26e3efea-b39e-442b-917a-a75c72be9fc1_story.html
Trump attacks decision to add in-person voting center in California House race,https://www.washingtonpost.com/politics/trump-attacks-decision-to-add-in-person-voting-center-in-california-house-race/2020/05/09/6c1d1f92-922d-11ea-9e23-6914ee410a5f_story.html
A guide to (almost) all the House primaries,https://www.washingtonpost.com/politics/a-guide-to-almost-all-the-house-primaries/2020/05/17/8bb8042a-2857-49fe-8866-57d0afbdeb63_story.html
A Fox News host worries the Ahmaud Arbery killing could become a ‘racial situation’,https://www.washingtonpost.com/politics/2020/05/08/fox-news-host-worries-that-ahmaud-arbery-killing-could-become-racial-situation/
The Daily 202: Five moves signal Trump’s attention is moving beyond the coronavirus crisis,https://www.washingtonpost.com/politics/the-daily-202-five-moves-signal-trumps-attention-is-moving-beyond-the-coronavirus-crisis/2020/05/07/3ea7c9b5-ff1e-4624-bf48-d6033318bef9_story.html
"Trump’s bid to shield his tax returns and finances, broad claims of presidential immunity head to Supreme Court",https://www.washingtonpost.com/politics/courts_law/supreme-court-trump-tax-returns-finances/2020/05/11/dd9bd598-92df-11ea-91d7-cf4423d47683_story.html
"The Cybersecurity 202: John Ratcliffe, spy chief nominee, hedged on whether Russia favored Trump in 2016",https://www.washingtonpost.com/politics/the-cybersecurity-202-john-ratcliffe-spy-chief-nominee-hedged-on-whether-russia-favored-trump-in-2016-interference/2020/05/06/0b32448c-572f-41ff-9f5c-d4ac61a5c92e_story.html
Kayleigh McEnany makes a thoroughly Trump-ian debut,https://www.washingtonpost.com/politics/2020/05/01/kayleigh-mcenany-just-made-thoroughly-trump-ian-debut/
Trump’s playbook on ‘Obamagate’ is extremely — and dubiously — familiar,https://www.washingtonpost.com/politics/2020/05/15/trumps-playbook-obamagate-is-extremely-dubiously-familiar/
The White House said it was following health experts’ advice. Then we learned it isn’t approving a key CDC document.,https://www.washingtonpost.com/politics/2020/05/07/white-house-said-it-was-following-health-experts-advice-then-we-learned-it-isnt-approving-key-cdc-document/
Fact-checking Trump’s knocks at Obama in his Fox town hall,https://www.washingtonpost.com/politics/2020/05/05/fact-checking-trumps-knocks-obama-his-fox-town-hall/
McConnell’s claim that Obama left behind no ‘game plan’ for the coronavirus outbreak,https://www.washingtonpost.com/politics/2020/05/14/mcconnells-claim-that-obama-left-behind-no-game-plan-coronavirus-outbreak/
Trump’s stunning claim that he’s taking hydroxychloroquine could trigger a cascade of negative effects,https://www.washingtonpost.com/politics/2020/05/18/trumps-stunning-claim-that-hes-taking-hydroxychloroquine-could-trigger-cascade-negative-effects/
"Trump still wants a payroll-tax cut for the coronavirus, and it’s still unlikely he’ll get it",https://www.washingtonpost.com/politics/2020/03/14/why-trump-isnt-getting-payroll-tax-cut-he-wanted-coronavirus/
The Cybersecurity 202: Trump’s decision to loosen rules for digital doctors visits raises hacking concerns,https://www.washingtonpost.com/politics/the-cybersecurity-202-trumps-decision-to-loosen-rules-for-digital-doctors-visits-raises-hacking-concerns/2020/03/18/218be1ad-bdb6-45bb-a928-a6bb71167a56_story.html
The Energy 202: A Harvard study tying coronavirus death rates to pollution is causing an uproar in Washington,https://www.washingtonpost.com/politics/the-energy-202-a-harvard-study-tying-coronavirus-death-rates-to-pollution-is-causing-an-uproar-in-washington/2020/05/07/831230fd-b955-4bac-8fe5-168d1fb70425_story.html
Biden says he would revoke permit for Keystone pipeline,https://www.washingtonpost.com/politics/biden-says-he-would-revoke-permit-for-keystone-pipeline/2020/05/18/93ba6fd4-9960-11ea-ac72-3841fcc9b35f_story.html
White House and Congress clash over liability protections for businesses as firms cautiously weigh virus reopening plans,https://www.washingtonpost.com/us-policy/2020/05/03/congress-coronavirus-legal-liability/
