web-scraper-order,web-scraper-start-url,title,title-href,link,link-href
1590496631-1436,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=125,Carmakers answer pleas to make medical supplies,https://www.allsides.com/news/2020-03-24-1527/carmakers-answer-pleas-make-medical-supplies,Read full story,https://www.bbc.com/news/business-51956880
1590503262-2800,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=24,Top Trump health officials in quarantine after coronavirus exposure,https://www.allsides.com/news/2020-05-10-0731/top-trump-health-officials-quarantine-after-coronavirus-exposure,Read full story,https://www.axios.com/coronavirus-fda-stephen-hahn-quarantine-c5e39783-5b23-479e-a087-9a8b8640d4cd.html
1590500152-2161,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=71,FactChecking Trump’s Attack on the WHO,https://www.allsides.com/news/2020-04-16-0619/factchecking-trump-s-attack-who,Read full story,https://www.factcheck.org/2020/04/factchecking-trumps-attack-on-the-who/
1590497801-1720,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=104,Coronavirus drives competing global ‘playbooks’,https://www.allsides.com/news/2020-04-02-1049/coronavirus-drives-competing-global-playbooks,Read full story,https://www.csmonitor.com/World/2020/0401/Coronavirus-drives-competing-global-playbooks
1590501769-2499,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=45,Should the United States halt funding to the World Health Organization?,https://www.allsides.com/news/2020-04-28-1435/should-united-states-halt-funding-world-health-organization,Read full story,https://www.thethreadweekly.com/news/funding-world-health-organization
1590498966-1948,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=87,Should churches be exempt from stay-at-home orders?,https://www.allsides.com/news/2020-04-08-1615/should-churches-be-exempt-stay-home-orders,Read full story,https://news.yahoo.com/should-churches-be-exempt-from-stayathome-orders-191308519.html
1590494970-1065,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=157,Coronavirus Infects the Markets,https://www.allsides.com/news/2020-03-10-0818/coronavirus-infects-markets,null,
1590501175-2371,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=56,'We're winging this.' Coronavirus protests tout independence as national groups eye election,https://www.allsides.com/news/2020-04-23-0751/were-winging-coronavirus-protests-tout-independence-national-groups-eye,Read full story,https://www.usatoday.com/story/news/politics/2020/04/23/coronavirus-trump-touts-state-protests-but-organizers-focus-economy/2997437001/
1590503017-2733,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=28,Did Trump Say COVID-19 Deaths Wouldn’t Hurt Anyone as Much as Himself?,https://www.allsides.com/news/2020-05-06-1722/did-trump-say-covid-19-deaths-wouldn-t-hurt-anyone-much-himself,Read full story,https://www.snopes.com/fact-check/trump-covid-19-deaths-hurt/
1590496902-1494,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=121,All You Wanted To Know About Those Tax Stimulus Checks But Were Afraid To Ask,https://www.allsides.com/news/2020-03-26-0623/all-you-wanted-know-about-those-tax-stimulus-checks-were-afraid-ask,Read full story,https://www.forbes.com/sites/kellyphillipserb/2020/03/25/all-you-wanted-to-know-about-those-tax-stimulus-checks-but-were-afraid-to-ask/#7431f2591f9c
1590495809-1239,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=140,Americans Immersed in COVID-19 News; Most Think Media Are Doing Fairly Well Covering It,https://www.allsides.com/news/2020-03-18-1540/americans-immersed-covid-19-news-most-think-media-are-doing-fairly-well,Read full story,https://www.journalism.org/2020/03/18/americans-immersed-in-covid-19-news-most-think-media-are-doing-fairly-well-covering-it/
1590504404-3034,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=3,Michael Cohen and Paul Manafort Got to Leave Federal Prison Due to COVID-19. They’re The Exception.,https://www.allsides.com/news/2020-05-22-1416/michael-cohen-and-paul-manafort-got-leave-federal-prison-due-covid-19-they-re,Read full story,https://www.themarshallproject.org/2020/05/21/michael-cohen-and-paul-manafort-got-to-leave-federal-prison-due-to-covid-19-they-re-the-exception
1590495047-1081,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=154,Congressional doctor predicts 70-150 million U.S. coronavirus cases,https://www.allsides.com/news/2020-03-11-1750/congressional-doctor-predicts-70-150-million-us-coronavirus-cases,Read full story,https://www.axios.com/congressional-physician-predicts-75-150-million-us-coronavirus-cases-fec69e77-1515-4fbc-8340-c53b65c22c53.html
1590501721-2489,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=45,Governors tiptoe toward reopening across the country,https://www.allsides.com/news/2020-04-28-0714/governors-tiptoe-toward-reopening-across-country,Read full story,https://thehill.com/policy/healthcare/494925-governors-tiptoe-toward-reopening-across-the-country
